,Nombre,Detalles,Precio actual,Precio anterior,Descuento
134,Asus Vivobook S512fl Ci7 10ma 15' 16gb 512ssd 2gb Mx250 2020,na,4999.0,4999.0,0
135,Laptop Lenovo Legion 5 I7-10ma 16gb 1tb.m2 Rtx2060 144hz,na,6000.0,6000.0,0
136,Nuevo Hp 15.6 Hd Amd Ryzen 3 3250u 3.5ghz 1tb Hdd + 128gb...,na,2609.0,2609.0,0
137,Lenovo Ideapad Flex 5 14 Fhd Ips Amd Ryzen 3 4300u 4gb 12...,na,2489.0,2489.0,0
138,"Laptop Empresarial Hp Probook 650g1, 15.6'' 16gb Ram, Ssd480",Reacondicionado,1989.0,1989.0,0
139,Real Genuine Apple Macbook Pro 16 16 Pulgadas 2019 2020 S...,na,739.0,739.0,0
140,Laptop Hp Envy 15 X360 15.6' Ci5 10210u 8gb 512ssd Iris 2021,na,4249.0,4249.0,0
141,Tornillos Tapa Apple Macbook Pro 13 15 17 Color Silver,na,30.0,30.0,0
142,"Laptop Empresarial Hp Probook 650g1, 15.6'', 8gb Ram, 1tb",Reacondicionado,1889.0,1889.0,0
143,"Laptop Alta Gama Hp Elitbook 840 G1,g2 Ci5, 5ta.gen 16gb Ssd",Reacondicionado,1789.0,1789.0,0
144,Laptop Refurbished Empresarial Dell Ci7 12gb Ssd 13.3/14'',Reacondicionado,1489.0,1935.0,23% OFF
145,"Laptop Alta Gama Hp Probook 640 G1, G2 Ci5, 6ta.gen 1tb Ssd",Reacondicionado,1489.0,1935.0,23% OFF
146,Laptop Dell Latitude Intel 4ta Gen Ci7 8gb 1 Tb 14.1   Hdmi,Reacondicionado,1790.0,1790.0,0
147,"Laptop Empresarial Hp Probook 650g1, 15.6'', 4gb Ram, Ssd480",Reacondicionado,1689.0,1689.0,0
148,Laptop I5 6ta Hp Dell Lenovo Asus Acer Toshiba 15.6 PuLG.,Usado,1739.0,1739.0,0
149,Lenovo 14 Hd Intel Gold 2.4ghz 4gb Ram 128gb Ssd Win10 We...,na,1869.0,1869.0,0
150,Nuevo Hp Chromebook 14 Hd Laptop Celeron N4000 4g 32g 14a...,na,1499.0,1499.0,0
151,Nuevo Lenovo Ideapad 3 14iml05 14 Hd Laptop 6405u 4gb 128...,na,1589.0,1589.0,0
152,Laptop Hp 14  Ryzen 3 2200u 1tb/4gb Ddr4,na,2299.0,2299.0,0
153,Laptop Empresarial Dell 5450 Ci5 5ta.gen. 4gb 1tb Hdmi 14.1 ,Reacondicionado,1490.0,1490.0,0
154,Lenovo 2 En 1 Chromebook Flex 3 11.6 Pantalla Táctil Medi...,na,1449.0,1449.0,0
155,Nuevo Acer Chromebook Spin 311 11.6 Pantalla Táctil Conve...,na,1499.0,1499.0,0
156, Laptop Refurbished Empresarial Dell Ci7 4gb Ssd 13.3/14'',Reacondicionado,1389.0,1805.0,23% OFF
157,Nuevo Hp Chromebook 14 Hd Intel Quad Core 2.7ghz 64gb Ssd...,na,1649.0,1649.0,0
158,Laptop Empresarial Lenovo /dell/ Hp Ci5 4gb Ssd Dvdrw 14  Hd,Usado,999.0,999.0,0
159,Acer A315 Core I7 10ma 8gb 1tb 2gb Nvidia 15.6 W10 Epj Peru,na,3549.0,3549.0,0
160,Case Macbook Air 2018 A1932 ,na,89.0,89.0,0
161,Nuevo Hp Stream Blue 14 Intel Celeron 4gb / 64gb Laptop C...,na,1589.0,1589.0,0
162,Laptop Hp Amd Ryzen 3 4gb Ram 128gb Ssd Win10 14  Hd,na,2099.0,2799.0,25% OFF
163,Laptop Empresarial Dell 5450 Ci5 5ta.gen.12gb 1tb Hdmi 14.1 ,Reacondicionado,1790.0,1790.0,0
164,"Laptop Hp 14  245 G6, Amd A9,ram 8gb,disco Duro 1tb Nuevo",na,2399.0,2399.0,0
165,Laptop I5 5ta Hp Dell Lenovo Asus Acer Toshiba 15.6 PuLG.,Usado,1849.0,1849.0,0
166,"Laptop Lenovo Thinkpad E15 I5-10210u 16gb 1tb, 20rds0uw00",na,4209.0,4209.0,0
167,Laptop Lenovo Chromebook 300e 2nd Gen - Pantalla Tactil,na,1599.0,1599.0,0
168,"Case Para Macbook + Protector De Teclado Air, Retina, Pro,",na,110.0,110.0,0
169,Case Huawei Matebook D 14,na,100.0,100.0,0
170,Apple Macbook Pro 15 Intel I7 Ddr4 16gb Ssd 1tb 2019,na,2200.0,2200.0,0
171,Hp Chromebook 11.6 Intel Celeron 4gb Ram 32 Gb Memoria Fl...,na,1239.0,1239.0,0
172,"Case Para Macbook Air 11.6'', 13.3''. (case For Mac)",na,64.0,64.0,0
173,"Case Para Macbook Retina 12'', 13.3'', 15.4''",na,64.0,64.0,0
174,"Laptop  15,6' I3-5005u  8gb 256ssd W10",na,1499.0,1499.0,0
175,Apple Macbook Air 6.2 A1466 13 Laptop I7-4650u 8gb 256gb Ss,na,1819.0,1819.0,0
176,"Lenovo Chromebook Duet  2 En1 Mediatek 4gb 64gb 10,1",na,1349.0,1819.0,25% OFF
177,Matebook D14 Huawei Case Protector ,na,115.0,115.0,0
178,Hp Notebook 240 G5/ Ci5-6200u/ 16gb/ Hdd 1tb/ 14p/ Hdmi/ Dvd,Usado,1990.0,1990.0,0
179,Acer Predator Ci7 10750h 16gb 1tb+512gbssd Rtx2060 6gb 144hz,na,2000.0,2000.0,0
180,Case Protector Funda Huawei Matebook D 15,na,100.0,100.0,0
181,Insignia Case @ Macbook Pro 13 2015 2014 2013 A1502 A1425,na,109.0,149.0,26% OFF
182,Case Insignia @ Macbook Pro 13 2015 2014 2013 A1502 A1425,na,109.0,149.0,26% OFF
183,Hp Envy X360 Laptop -15t-ed000 Touch  Product 191b5av_1,na,9000.0,9000.0,0
184,Macbook Pro 13  A1278 : Flex Disco Duro Hard Drive 2009-2012,na,160.0,160.0,0
185,"Case Para Macbook Touchbar, Retina, Pro, Air En Black",na,64.0,64.0,0
186,Case Para Macbook Air 13.3 2012-2017 / Air 2018 Modelo A1932,na,69.0,69.0,0
187,Lenovo Yoga Book Real Pen Nuevo Envío Gratuito,na,439.0,439.0,0
188,Adaptador De M.2 A Ssd Ngff Macbook Air A1465 A1466 2012,na,80.0,80.0,0
189,Laptop Lenovo Thinkpad T470 I5,na,3600.0,3600.0,0
190,2020 Apple Macbook Pro 15  I7 1tb Ssd 16gb Ram,na,3200.0,3200.0,0
191,Protector De Teclado Macbook ,na,35.0,35.0,0
192,Cargador Magsafe 1/2 ( 45w ) (65w) (85w) Compatible Con Logo,na,259.0,259.0,0
193,"Huawei Matebook D 14 Amd R5 - 8gb + 512gb, Nuevo Gris",na,1500.0,1500.0,0
194,Flex De Disco Duro Macbook Pro Mac 13  A1278 2009 2010 2011,na,140.0,140.0,0
195," Hp Pavilion Gaming 15-ec0002la, 8gb Ram, 1tb Hdd, 256gb Ssd",na,3000.0,3000.0,0
196,Gamer Alienware M17 R3 Con 17'3 Pulgadas Windows 10 ,na,2657.0,2657.0,0
197,Case Fintie Para Macbook Pro 13 2019 A1706 A1708 A1989 A2159,na,135.0,135.0,0
198,Laptop Microsoft 15 Surface Book 3 I7ma 512gb Ssd 32gb Ram,na,2500.0,2500.0,0
199,Laptop Compaq Presario V3718la - 14.1  Amd Athlon Repuestos,Usado,100.0,100.0,0
200,Dumps Bios De Laptops .,na,25.0,25.0,0
